,open,high,close
0,73.5,74.04,73.86
1,73.09,73.39,73.3
2,72.8,73.45,73.35
3,72.24,73.27,72.78
4,71.5,72.0399,71.77
5,70.69,71.28,71.15
6,70.0,70.68,69.99
7,69.46,70.25,69.98
8,68.7,69.84,69.46
9,68.27,68.78,68.57
10,68.255,69.44,69.08
11,69.33,69.6,68.17
12,68.78,69.38,68.93
13,69.38,69.49,68.49
14,69.21,69.841,69.8
15,70.11,70.18,69.21
16,71.4,71.71,70.53
17,70.09,71.25,71.21
18,70.54,70.59,70.26
19,70.21,70.62,70.27
20,70.82,70.87,69.91
21,70.5,70.94,70.87
22,69.73,70.03,70.0
23,69.27,70.21,69.9
24,70.91,71.1,70.27
25,70.02,70.82,70.65
26,69.25,69.94,69.78
27,72.035,72.08,70.32
28,72.51,72.52,71.95
29,72.635,72.77,72.39
30,72.3,72.62,72.52
31,71.97,72.89,72.28
32,70.44,71.86,71.76
33,70.24,70.61,70.1
34,70.53,70.74,69.84
35,69.79,70.41,70.41
36,69.8,70.22,69.96
37,68.97,69.88,69.62
38,68.87,68.88,68.77
39,68.72,68.75,68.68
40,67.89,68.5,68.45
41,67.5,68.095,67.69
42,67.4,68.13,67.71
43,68.89,69.1,67.48
44,68.23,69.44,69.41
45,68.14,68.48,68.43
46,68.61,68.61,68.38
47,68.36,68.73,68.46
48,68.99,69.56,69.31
49,68.86,69.28,69.04
50,68.97,69.05,68.94
51,68.9,69.03,69.0
52,69.03,69.08,68.81
53,69.38,69.38,69.08
54,69.71,69.71,69.3
55,68.68,69.55,69.41
56,68.91,69.14,68.46
57,68.15,68.38,68.27
58,68.08,68.31,67.83
59,67.9,68.04,67.92
60,67.48,67.66,67.53
61,65.67,66.7,66.4
62,65.46,65.75,65.5
63,65.65,65.75,65.04
64,65.33,65.71,65.39
65,65.04,65.49,65.48
66,65.29,65.86,64.95
67,65.42,65.51,65.23
68,65.6,65.61,65.48
69,65.61,65.82,65.53
70,65.85,65.96,65.68
71,65.6,66.055,65.73
72,66.3,66.35,65.56
73,65.39,65.81,65.73
74,65.81,65.94,65.55
75,65.65,66.19,65.86
76,65.42,65.98,65.71
77,65.12,65.5,65.47
78,64.96,65.47,65.29
79,64.63,65.22,65.1
80,65.36,65.45,64.98
81,64.94,65.24,64.87
82,64.12,65.14,65.03
83,65.19,65.5,64.21
84,64.91,65.18,64.93
85,64.91,65.24,64.87
86,64.75,64.76,64.64
87,64.55,64.92,64.75
88,64.53,64.55,64.41
89,65.01,65.19,64.71
90,65.11,65.26,64.93
91,65.19,65.2,64.73
92,64.26,65.08,64.99
93,64.19,64.78,64.4
94,63.97,64.56,64.27
95,63.99,64.28,64.25
96,64.69,64.75,64.01
97,64.13,64.99,64.94
98,64.08,64.2,63.98
99,64.54,64.54,64.23
100,64.53,64.8,64.62
101,64.42,64.73,64.62
102,64.33,64.39,64.36
103,64.61,64.95,64.49
104,64.47,64.69,64.62
105,64.74,65.24,64.52
106,64.5,64.57,64.53
107,64.41,64.72,64.57
108,64.24,64.86,64.72
109,64.25,64.3,64.0
110,63.52,64.44,64.06
111,63.57,63.81,63.34
112,63.74,63.78,63.43
113,63.5,63.65,63.64
114,63.5,63.7,63.68
115,63.25,63.41,63.17
116,64.355,64.62,63.58
117,64.86,65.15,64.65
118,65.69,65.79,65.13
119,65.39,65.91,65.78
120,64.12,64.535,64.27
121,63.95,64.1,63.68
122,63.2,63.735,63.52
123,62.7,63.1159,62.96
124,62.67,62.82,62.74
125,62.24,62.98,62.3
126,62.67,62.7,62.5
127,62.68,62.7,62.53
128,62.62,62.865,62.7
129,63.06,63.4,62.61
130,62.61,63.23,63.19
131,62.73,63.07,62.62
132,62.76,63.08,62.64
133,62.3,63.15,62.84
134,62.19,62.66,62.3
135,62.48,62.75,62.3
136,62.79,62.84,62.58
137,62.96,62.99,62.14
138,62.86,63.2,62.9
139,63.4,63.4,62.99
140,63.21,64.07,63.28
141,63.45,63.54,63.24
142,63.84,64.1,63.55
143,63.43,63.7,63.54
144,63.69,63.8,63.54
145,62.56,63.77,63.62
146,62.95,62.95,62.3
147,62.7,63.1535,62.58
148,63.0,63.45,62.68
149,62.5,63.42,62.98
150,61.82,62.3,62.17
151,61.18,61.99,61.97
152,61.3,61.58,61.01
153,60.01,61.38,61.37
154,60.43,60.46,59.95
155,59.7,60.585,60.22
156,59.08,59.47,59.25
157,60.11,60.15,59.2
158,60.86,61.18,60.26
159,60.65,61.41,61.09
160,60.34,61.02,60.61
161,60.3,60.53,60.53
162,61.01,61.1,60.4
163,60.98,61.26,61.12
164,60.5,60.97,60.86
165,60.78,61.14,60.35
166,60.41,60.95,60.64
167,58.94,59.66,59.65
168,58.33,59.49,58.87
169,59.02,59.08,58.12
170,58.23,59.116,59.02
171,60.48,60.49,58.7
172,60.0,60.59,60.17
173,60.55,60.78,60.47
174,59.78,60.52,60.42
175,58.65,59.28,58.71
176,59.53,59.64,59.21
177,59.82,59.93,59.43
178,59.97,60.02,59.8
179,60.16,60.42,59.92
180,60.01,60.52,59.87
181,60.61,60.83,60.1
182,60.81,61.2,60.63
183,60.85,61.3699,60.99
184,59.94,61.0,61.0
185,60.28,60.45,59.66
186,57.5,57.52,57.25
187,57.47,57.84,57.53
188,57.53,57.945,57.66
189,57.36,57.46,57.22
190,57.12,57.74,57.42
191,56.7,57.3,56.92
192,57.11,57.27,57.11
193,57.89,58.02,57.19
194,57.91,58.39,58.04
195,57.85,57.98,57.8
196,57.74,57.86,57.74
197,57.29,57.9601,57.64
198,57.27,57.595,57.24
199,57.405,57.55,57.42
200,57.57,57.77,57.6
201,57.81,58.1679,57.4
202,57.88,58.06,58.03
203,56.93,58.06,57.95
204,57.08,57.14,56.9
205,57.87,57.91,57.43
206,57.92,58.0,57.82
207,57.51,57.85,57.76
208,57.35,57.35,56.81
209,57.27,57.75,56.93
210,57.63,57.63,57.25
